24		Согласно указанному закону первые выборы высших должностных лиц должны были состояться 14 октября 2012 года в тех субъектах Российской Федерации , где срок истечения полномочий действующих высших должностных лиц истекает с 1 июня по 31 декабря 2012 года .	[root[nmod[case[Согласно]][amod[указанному]][закону]][nsubj[amod[первые]][выборы][nmod[amod[высших]][amod[должностных]][лиц]]][должны][aux[были]][xcomp[состояться][obl[14][flat[октября][nmod[amod[2012]][года]]]][obl[case[в]][det[тех]][субъектах][nmod[amod[Российской]][Федерации]][acl:relcl[punct[,]][advmod[где]][nsubj[срок][nmod[истечения][nmod[полномочий][nmod[acl[действующих]][amod[высших]][amod[должностных]][лиц]]]]][истекает][obl[case[с]][1][flat[июня]]][obl[case[по]][31][flat[декабря][nmod[amod[2012]][года]]]]]]][punct[.]]]
25		Гайтукаев познакомился с сотрудником Восточно-Сибирского банка Владимиром Новиковым , ответственным за поиск клиентуры для банка .	[root[nsubj[Гайтукаев]][познакомился][obl[case[с]][сотрудником][nmod[amod[Восточно-Сибирского]][банка]][appos[Владимиром][flat:name[Новиковым]]][punct[,]][amod[ответственным][obl[case[за]][поиск][nmod[клиентуры]][nmod[case[для]][банка]]]]][punct[.]]]
26		Как и его предшественники король Гарсия II оказывал покровительство христианским церквям и монастырям , находившимся в его владениях .	[root[obl[case[Как]][advmod[и]][det[его]][предшественники]][nsubj[король][appos[Гарсия][amod[II]]]][оказывал][obj[покровительство]][iobj[amod[христианским]][церквям][conj[cc[и]][монастырям]][acl[punct[,]][находившимся][obl[case[в]][det[его]][владениях]]]][punct[.]]]
27		В первой части герба -- ворота -- выполнены из камня в произвольной форме ( в действительности данного архитектурного сооружения не существовало ; выражение `` Ворота Кавказа &#39;&#39; -- аллегория ) .	[root[obl[case[В]][amod[первой]][части][nmod[герба]]][punct[--]][nsubj:pass[ворота]][punct[--]][выполнены][obl[case[из]][камня]][obl[case[в]][amod[произвольной]][форме]][parataxis[punct[(]][obl[case[в]][действительности]][obl[amod[данного]][amod[архитектурного]][сооружения]][advmod[не]][существовало][punct[;]][parataxis[nsubj[выражение][appos[punct[``]][Ворота][nmod[Кавказа]][punct[&#39;&#39;]]]][punct[--]][аллегория]][punct[)]]][punct[.]]]
28		Население по переписи 2001 года составляло 417 человек .	[root[nsubj[Население]][obl[case[по]][переписи][nmod[amod[2001]][года]]][составляло][obj[nummod:gov[417]][человек]][punct[.]]]
29		До этого гости и гостиная сотня составляли единое сословие .	[root[obl[case[До]][этого]][nsubj[гости][conj[cc[и]][amod[гостиная]][сотня]]][составляли][obj[amod[единое]][сословие]][punct[.]]]
30		В итоге в 1018 году Санчо III Наваррский занял центральную часть графства , где разбив мавров , вторгшихся в Рибагорсу .	[root[obl[case[В]][итоге]][obl[case[в]][amod[1018]][году]][nsubj[Санчо][amod[III]][amod[Наваррский]]][занял][obj[amod[центральную]][часть][nmod[графства]][advcl[punct[,]][advmod[где]][разбив][obj[мавров][acl[punct[,]][вторгшихся][obl[case[в]][Рибагорсу]]]]]][punct[.]]]
31		В период с 31 декабря 2006 по 31 декабря 2007 года Аэропорт Гуиннер имени Роджера Мелро обработал 4120 операций взлётов и посадок воздушных судов ( в среднем 11 операций ежедневно ) , из которых 51 % пришлось на рейсы аэротакси , 49 % составила авиация общего назначения и меньше 1 % заняли рейсы военной авиации .	[root[obl[case[В]][период][nmod[case[с]][31][flat[декабря][nmod[2006]]]][nmod[case[по]][31][flat[декабря][nmod[amod[2007]][года]]]]][nsubj[Аэропорт][appos[Гуиннер]][nmod[имени][nmod[Роджера][flat:name[Мелро]]]]][обработал][obj[nummod:gov[4120]][операций][nmod[взлётов][conj[cc[и]][посадок]][nmod[amod[воздушных]][судов]]][parataxis[punct[(]][nmod[case[в]][среднем]][nummod:gov[11]][операций][advmod[ежедневно]][punct[)]]][acl:relcl[obl[punct[,]][case[из]][которых]][nsubj[nummod[51]][%]][пришлось][obl[case[на]][рейсы][nmod[аэротакси]]][conj[punct[,]][obj[nummod:gov[49]][%]][составила][nsubj[авиация][nmod[amod[общего]][назначения]]]][conj[cc[и]][advmod[меньше][nmod[nummod[1]][%]]][заняли][nsubj[рейсы][nmod[amod[военной]][авиации]]]]]][punct[.]]]
32		Да́тский проли́в -- пролив между островами Гренландия и Исландия .	[root[nsubj[amod[Да́тский]][проли́в]][punct[--]][пролив][nmod[case[между]][островами][appos[Гренландия][conj[cc[и]][Исландия]]]][punct[.]]]
33		Поставленная комиссии задача предусматривала изучение имеющихся зарубежных данных о строительстве полуподводных миноносцев , проектирование и постройка погружающегося судна для береговой обороны .	[root[nsubj[acl[Поставленная][obj[комиссии]]][задача]][предусматривала][obj[изучение][nmod[amod[имеющихся]][amod[зарубежных]][данных][nmod[case[о]][строительстве][nmod[amod[полуподводных]][миноносцев]]]][conj[punct[,]][проектирование][conj[cc[и]][постройка]][nmod[acl[погружающегося]][судна][nmod[case[для]][amod[береговой]][обороны]]]]][punct[.]]]
34		Через округ Джайпур протекают реки Банас и Банганга .	[root[obl[case[Через]][округ][appos[Джайпур]]][протекают][nsubj[реки][appos[Банас][conj[cc[и]][Банганга]]]][punct[.]]]
35		Кроме того , в связи с тем , что гидрокарбонат натрия не поступает обратно в кровь на пополнение щелочных резервов , развивается сильнейший ацидоз , а в условиях ацидоза действие диакарба прекращается .	[root[obl[case[Кроме]][того][punct[,]]][obl[case[в]][связи][nmod[case[с]][тем][acl:relcl[punct[,]][mark[что]][nsubj[гидрокарбонат][nmod[натрия]]][advmod[не]][поступает][advmod[обратно]][obl[case[в]][кровь]][obl[case[на]][пополнение][nmod[amod[щелочных]][резервов]]][punct[,]]]]][развивается][nsubj[amod[сильнейший]][ацидоз]][conj[punct[,]][cc[а]][obl[case[в]][условиях][nmod[ацидоза]]][nsubj[действие][nmod[диакарба]]][прекращается]][punct[.]]]
36		На участке отремонтированы все станции и модернизированы вокзалы с учетом современных требований .	[root[obl[case[На]][участке]][отремонтированы][nsubj:pass[det[все]][станции]][conj[cc[и]][модернизированы][nsubj:pass[вокзалы]][obl[case[с]][учетом][nmod[amod[современных]][требований]]]][punct[.]]]
37		Уильям Дуглас был губернатором Берика в период вторжений английского короля Эдуарда I в Шотландию .	[root[nsubj[Уильям][flat:name[Дуглас]]][cop[был]][губернатором][nmod[Берика]][nmod[case[в]][период][nmod[вторжений][nmod[amod[английского]][короля][appos[Эдуарда][amod[I]]]][nmod[case[в]][Шотландию]]]][punct[.]]]
38		Известность получил также еврейский партизанский отряд 106 Шолома Зорина , насчитывавший 600 человек , в том числе 137 -- боевая рота , остальные гражданские ( в основном женщины и дети ) .	[root[obj[Известность]][получил][advmod[также]][nsubj[amod[еврейский]][amod[партизанский]][отряд][nummod:entity[106]][nmod[Шолома][flat:name[Зорина]]][acl[punct[,]][насчитывавший][obj[nummod:gov[600]][человек]][parataxis[punct[,]][nsubj[case[в][fixed[том]][fixed[числе]]][137]][punct[--]][amod[боевая]][рота][conj[nsubj[punct[,]][остальные]][гражданские][appos[punct[(]][nmod[case[в]][основном]][женщины][conj[cc[и]][дети]][punct[)]]]]]]][punct[.]]]
39		16 октября 2001 года епархия Виджаявады вошла в митрополию Вишакхапатнама .	[root[obl[16][flat[октября][nmod[amod[2001]][года]]]][nsubj[епархия][appos[Виджаявады]]][вошла][obl[case[в]][митрополию][appos[Вишакхапатнама]]][punct[.]]]
40		Железнодорожный транспорт Аргентины -- железнодорожные линии и компании на территории Аргентины .	[root[nsubj[amod[Железнодорожный]][транспорт][nmod[Аргентины]]][punct[--]][amod[железнодорожные]][линии][conj[cc[и]][компании]][nmod[case[на]][территории][nmod[Аргентины]]][punct[.]]]
41		Ряд совместных работ участников группы после 2001 года не имеют авторства , начальных и концевых титров и маркируются грифом `` автор неизвестен &#39;&#39; .	[root[nsubj[Ряд][nmod[amod[совместных]][работ][nmod[участников][nmod[группы]]]]][obl[case[после]][amod[2001]][года]][advmod[не]][имеют][obj[авторства][conj[punct[,]][amod[начальных][conj[cc[и]][концевых]]][титров]]][conj[cc[и]][маркируются][iobj[грифом][appos[punct[``]][nsubj[автор]][неизвестен][punct[&#39;&#39;]]]]][punct[.]]]
42		Крупных озёр нет , но в альпийском и горно-таёжном поясах в истоках почти всех рек встречаются озёра , в основном ледникового происхождения : каровые , моренно-подпрудные или рождённые горными обвалами .	[root[nsubj[amod[Крупных]][озёр]][нет][conj[punct[,]][cc[но]][obl[case[в]][amod[альпийском][conj[cc[и]][горно-таёжном]]][поясах]][obl[case[в]][истоках][nmod[det[advmod[почти]][всех]][рек]]][встречаются][nsubj[озёра][nmod[punct[,]][advmod[в][fixed[основном]]][amod[ледникового]][происхождения][appos[punct[:]][каровые][conj[punct[,]][моренно-подпрудные]][conj[cc[или]][рождённые][obl:agent[amod[горными]][обвалами]]]]]]][punct[.]]]
43		По данным государственного водного реестра России относится к Верхнеобскому бассейновому округу , водохозяйственный участок реки -- Катунь , речной подбассейн реки -- Бия и Катунь .	[root[obl[case[По]][данным][nmod[amod[государственного]][amod[водного]][реестра][nmod[России]]]][относится][obl[case[к]][amod[Верхнеобскому]][amod[бассейновому]][округу]][conj[punct[,]][nsubj[amod[водохозяйственный]][участок][nmod[реки]]][punct[--]][Катунь]][conj[punct[,]][nsubj[amod[речной]][подбассейн][nmod[реки]]][punct[--]][Бия][conj[cc[и]][Катунь]]][punct[.]]]
44		Издавались книги массовыми тиражами , в бумажной обложке уменьшенного формата .	[root[Издавались][nsubj[книги]][obl[amod[массовыми]][тиражами]][obl[punct[,]][case[в]][amod[бумажной]][обложке][nmod[acl[уменьшенного]][формата]]][punct[.]]]
45		Пакет из металлизированного полиэтилена с нанесённой инструкцией .	[root[Пакет][nmod[case[из]][amod[металлизированного]][полиэтилена]][nmod[case[с]][acl[нанесённой]][инструкцией]][punct[.]]]
46		Судислав Владимирович был высажен Ярославичами из поруба в 1059 году , они взяли с него присягу и постригли в монахи , умер он в 1063 году .	[root[nsubj:pass[Судислав][flat:name[Владимирович]]][aux:pass[был]][высажен][obl:agent[Ярославичами]][obl[case[из]][поруба]][obl[case[в]][amod[1059]][году]][punct[,]][parataxis[nsubj[они]][взяли][obl[case[с]][него]][obj[присягу]][conj[cc[и]][постригли][obl[case[в]][монахи]]][punct[,]]][parataxis[умер][nsubj[он]][obl[case[в]][amod[1063]][году]]][punct[.]]]
47		Интеркаля́рная меристе́ма -- активно растущие меристематические участки , расположенные большей частью у основания стеблевых междоузлий между зонами дифференцированных тканей .	[root[nsubj[amod[Интеркаля́рная]][меристе́ма]][punct[--]][acl[advmod[активно]][растущие]][amod[меристематические]][участки][acl[punct[,]][расположенные][acl[amod[большей]][частью]][obl[case[у]][основания][nmod[amod[стеблевых]][междоузлий]]][obl[case[между]][зонами][nmod[amod[дифференцированных]][тканей]]]][punct[.]]]
48		Несмотря на свою глухоту он хороший барабанщик .	[root[obl[case[Несмотря][fixed[на]]][det[свою]][глухоту]][nsubj[он]][amod[хороший]][барабанщик][punct[.]]]
49		Кайва ( Caingua , Caiua , Caiwa , Cayua , Kaiova , Kaiowá , Kaiwá , Kayova ) -- язык гуарани , на котором говорит народ кайва ( гуарани - кайува ) в провинции Мату - Гросу - ду - Сул около рек Апа , Дурадос , Ивиньема на севере и в горах Мбаракажу и притоках реки Жежуй на юге .	[root[nsubj[Кайва][appos[punct[(]][Caingua][conj[punct[,]][Caiua]][conj[punct[,]][Caiwa]][conj[punct[,]][Cayua]][conj[punct[,]][Kaiova]][conj[punct[,]][Kaiowá]][conj[punct[,]][Kaiwá]][conj[punct[,]][Kayova]][punct[)]]]][punct[--]][язык][nmod[гуарани]][acl:relcl[punct[,]][obl[case[на]][котором]][говорит][nsubj[народ][appos[кайва][appos[punct[(]][гуарани][flat:foreign[punct[-]][кайува]][punct[)]]]]][obl[case[в]][провинции][appos[Мату][flat:foreign[punct[-]][Гросу]][flat:foreign[punct[-]][ду]][flat:foreign[punct[-]][Сул]]][nmod[case[около]][рек][appos[Апа][conj[punct[,]][Дурадос]][conj[punct[,]][Ивиньема]]][nmod[case[на]][севере]]][conj[cc[и]][case[в][conj[cc[и]][притоках][nmod[реки][appos[Жежуй]]]]][горах][appos[Мбаракажу]][nmod[case[на]][юге]]]]][punct[.]]]
50		Административный центр Камышевского сельского поселения .	[root[amod[Административный]][центр][nmod[amod[Камышевского]][amod[сельского]][поселения]][punct[.]]]
51		После революции помимо кафедры на базе университетских Высших географических курсов создается Государственный географический институт , в структуре которого выделялись географический и этнографический факультеты .	[root[obl[case[После]][революции]][obl[case[помимо]][кафедры]][obl[case[на]][базе][nmod[amod[университетских]][amod[Высших]][amod[географических]][курсов]]][создается][nsubj[amod[Государственный]][amod[географический]][институт][acl:relcl[punct[,]][obl[case[в]][структуре][nmod[которого]]][выделялись][nsubj[amod[географический][conj[cc[и]][этнографический]]][факультеты]]]][punct[.]]]
52		Предложения часто начинаются с новой строки , что позволяло украсить страницу большим количеством буквиц , а пустое место в предыдущих неполных строках занять орнаментом .	[root[nsubj[Предложения]][advmod[часто]][начинаются][obl[case[с]][amod[новой]][строки]][acl[punct[,]][nsubj[что]][позволяло][xcomp[украсить][obj[страницу]][iobj[amod[большим]][количеством][nmod[буквиц]]][conj[punct[,]][cc[а]][obj[amod[пустое]][место][nmod[case[в]][amod[предыдущих]][amod[неполных]][строках]]][занять][iobj[орнаментом]]]]][punct[.]]]
53		С 2011 года играет в мурманском `` Севере &#39;&#39; .	[root[obl[case[С]][amod[2011]][года]][играет][obl[case[в]][amod[мурманском]][punct[``]][Севере][punct[&#39;&#39;]]][punct[.]]]
54		Среди последователей Мелани Кляйн были такие психоаналитики , как Герберт Розенфельд , Уилфред Бион , Бетти Джозеф , Ханна Сегал , Дональд Мельцер , Рождер Мани - Керл .	[root[obl[case[Среди]][последователей][nmod[Мелани][flat:name[Кляйн]]]][были][nsubj[det[такие]][психоаналитики][nmod[punct[,]][case[как]][Герберт][flat:name[Розенфельд]][conj[punct[,]][Уилфред][flat:name[Бион]]][conj[punct[,]][Бетти][flat:name[Джозеф]]][conj[punct[,]][Ханна][flat:name[Сегал]]][conj[punct[,]][Дональд][flat:name[Мельцер]]][conj[punct[,]][Рождер][flat:name[Мани][flat:name[punct[-]][Керл]]]]]][punct[.]]]
55		На 2010 год население штата составляет 650555 человек , что всего около 0,6 % от населения Мексики .	[root[obl[case[На]][amod[2010]][год]][nsubj[население][nmod[штата]]][составляет][obj[nummod:gov[650555]][человек][acl:relcl[punct[,]][nsubj[что]][advmod[всего]][case[около]][nummod[0,6]][%][nmod[case[от]][населения][nmod[Мексики]]]]][punct[.]]]
56		Общая длина инструмента около 90 см .	[root[amod[Общая]][длина][nmod[инструмента]][nmod[case[около]][nummod[90]][см]][punct[.]]]
57		Есть младшая сестра Оксана , тоже шахматистка .	[root[Есть][nsubj[amod[младшая]][сестра][appos[Оксана]]][conj[punct[,]][advmod[тоже]][шахматистка]][punct[.]]]
58		В 1931 году в селе была открыта семилетняя школа , в 1936 -- средняя .	[root[obl[case[В]][amod[1931]][году]][obl[case[в]][селе]][aux:pass[была]][открыта][nsubj:pass[amod[семилетняя]][школа]][parataxis[punct[,]][orphan[case[в]][1936]][punct[--]][средняя]][punct[.]]]
59		Окончил неполную среднюю школу и аэроклуб .	[root[Окончил][obj[amod[неполную]][amod[среднюю]][школу][conj[cc[и]][аэроклуб]]][punct[.]]]
60		В 1965 году выходит первый художественный сборник рассказов `` Солдаты в синих шинелях &#39;&#39; .	[root[obl[case[В]][amod[1965]][году]][выходит][nsubj[amod[первый]][amod[художественный]][сборник][nmod[рассказов]][appos[punct[``]][Солдаты][nmod[case[в]][amod[синих]][шинелях]][punct[&#39;&#39;]]]][punct[.]]]
61		Постановление правительства о политехнизации школы вышедшее в 1931 году и повысившийся в связи с этим интерес к изучению возрастных особенностей физиологии явились дополнительными факторами , сопутствовавшими активной разработке в этой области .	[root[nsubj[Постановление][nmod[правительства][nmod[case[о]][политехнизации][nmod[школы]]]][acl[вышедшее][obl[case[в]][amod[1931]][году]]][conj[cc[и]][acl[повысившийся][obl[case[в]][связи][nmod[case[с]][этим]]]][интерес][nmod[case[к]][изучению][nmod[amod[возрастных]][особенностей][nmod[физиологии]]]]]][явились][xcomp[amod[дополнительными]][факторами][acl[punct[,]][сопутствовавшими][iobj[amod[активной]][разработке][nmod[case[в]][det[этой]][области]]]]][punct[.]]]
62		Входит в состав округа Бургдорф .	[root[Входит][obl[case[в]][состав][nmod[округа][appos[Бургдорф]]]][punct[.]]]
63		С ноября 1833 года Лорцинг с супругой выступают на сцене Городского театра Лейпцига , в труппе которого ещё с 1832 года играют его родители .	[root[obl[case[С]][ноября][nmod[amod[1833]][года]]][nsubj[Лорцинг][nmod[case[с]][супругой]]][выступают][obl[case[на]][сцене][nmod[amod[Городского]][театра][nmod[Лейпцига]][acl:relcl[punct[,]][obl[case[в]][труппе][nmod[которого]]][advmod[ещё]][obl[case[с]][amod[1832]][года]][играют][nsubj[det[его]][родители]]]]][punct[.]]]
64		Перед ним шли 24 ликтора с фасциями -- столько же ликторов сопровождало древнеримских царей .	[root[obl[case[Перед]][ним]][шли][nsubj[nummod:gov[24]][ликтора][nmod[case[с]][фасциями]]][punct[--]][parataxis[obl[nummod:gov[столько][advmod[же]]][ликторов]][сопровождало][obj[amod[древнеримских]][царей]]][punct[.]]]
65		Образуется при давлениях около 70 ГПа .	[root[Образуется][obl[case[при]][давлениях][nmod[case[около]][nummod[70]][ГПа]]][punct[.]]]
66		Сток зарегулирован ставками .	[root[nsubj:pass[Сток]][зарегулирован][iobj[ставками]][punct[.]]]
